genres,app_name,price,metascore,release_year
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,72,2018
"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,72,2017
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,3.99,72,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,9.99,72,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,72,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,72,2018
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,72,2018
"['Casual', 'Indie']",Beach Rules,3.99,72,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,72,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,1.59,72,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,72,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,1.99,72,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,72,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,72,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,72,2017
"['Action', 'Indie']",DinoBlaster,4.99,72,2018
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,9.99,72,1997
['Action'],Half-Life,9.99,96,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,72,2016
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,72,2018
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,8.99,72,2018
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,0.99,72,2018
['Strategy'],Disciples II: Gallean's Return,6.99,84,2006
['Strategy'],Disciples II: Rise of the Elves,6.99,80,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,9.99,76,2006
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,7.99,72,2017
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,72,2017
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,9.99,72,2017
"['Action', 'Indie']",Orbitality,9.99,72,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,72,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,0.99,72,2017
['Action'],Advent Rising,9.99,70,2005
"['Indie', 'Strategy']",DEFCON,9.99,84,2006
"['Action', 'Indie', 'RPG']",The Ship: Single Player,9.99,72,2006
"['Indie', 'Simulation']",Garry's Mod,9.99,72,2006
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,4.99,69,2006
['Strategy'],Ghost Master®,4.99,81,2003
['Strategy'],Vegas: Make It Big™,4.99,72,2006
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,19.99,75,2006
['Racing'],FlatOut 2™,9.99,76,2006
['Racing'],FlatOut,7.49,72,2005
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,14.99,66,2007
['Strategy'],CivCity: Rome,9.99,67,2006
['RPG'],Arx Fatalis,4.99,77,2002
"['Action', 'Adventure', 'RPG']",The Longest Journey,9.99,91,2000
['Strategy'],Civilization IV®: Warlords,4.99,84,2006
['Strategy'],Railroad Tycoon 3,9.99,80,2003
['Strategy'],Sid Meier's Railroads!,9.99,77,2006
['Strategy'],Railroad Tycoon II Platinum,4.99,89,1998
